20221205	17:35:48	af50dd74-9195-4abe-a8e9-39c489f0f313	POST	undefined	/auth
20221207	00:08:32	899b703e-32fd-4f32-81c9-ec23d0995580	POST	undefined	/auth
20221207	00:08:53	c27fbee2-06ac-43ef-b7d0-bb46ae5e2dce	GET	undefined	/employees
20221207	00:09:26	e121b1cd-e4ea-4a05-98d4-06ce1e9f34d0	POST	undefined	/employees
20221207	00:09:41	cc3a0c59-c687-4c1a-a474-83f2bf488d95	POST	undefined	/auth
20221207	00:09:58	b6838673-5ce5-44e8-a6f6-ebf3b8938a70	POST	undefined	/employees
20221207	00:11:05	e9fd2f62-e892-4a7c-9304-801ad9858d2d	POST	undefined	/auth
20221207	00:11:12	e9ce8a9c-dcc4-459a-8322-2a05efa9acde	POST	undefined	/employees
20221207	00:11:23	57b0e090-bc0d-47b5-8834-aae043f5abcd	DELETE	undefined	/employees
20221207	00:11:35	b301df54-87e9-4b5f-83c5-f906cdc9ac3a	POST	undefined	/auth
20221207	00:11:49	d270906b-daa2-415c-a44d-414a75156892	DELETE	undefined	/employees
20221207	00:12:21	b717ad79-2f44-42b9-8aad-75aeb3ce453b	POST	undefined	/auth
20221207	00:12:34	5510bfbe-8d2b-46dc-b163-0b5057aa5b8b	DELETE	undefined	/employees
20221207	00:12:59	29db865b-bc40-424f-9b03-32b66c0c5a37	POST	undefined	/auth
20221207	00:13:10	ba26f26b-aec0-4366-9ed5-7b6bf6c1c696	POST	undefined	/employees
20221207	00:13:16	a824d7ee-b1a1-43f1-8de1-bc8376e8b2f0	DELETE	undefined	/employees
20221207	15:20:48	3fe60a6b-e267-4aac-a448-f46641ee1d9f	POST	undefined	/register
20221207	15:21:33	c9abfdea-f86f-44f6-abdb-8fb92ecb100e	POST	undefined	/register
20221207	15:42:04	2e39a609-171a-48f7-b539-b152e7ef76cf	POST	undefined	/register
20221207	15:42:21	7cdf8e00-0799-4803-9b64-4366d52dfddf	POST	undefined	/register
20221207	15:42:42	1e780d0c-0792-4695-bf4b-38392a43a544	POST	undefined	/auth
20221207	15:43:39	e2ec1f93-04d0-4a6d-bd4d-ed478fe7de46	GET	undefined	/refresh
20221207	15:54:50	0f8d60a2-428e-4af4-8af4-a260fc203479	POST	undefined	/auth
20221207	15:55:00	16b8984f-04d6-44aa-8163-8f9f8984ea94	GET	undefined	/refresh
20221207	15:55:33	e849478c-1fdb-4ded-aa09-4cfd2061f1ac	POST	undefined	/auth
20221207	15:55:47	5359d5ee-3054-410c-a0d1-d13326d62676	GET	undefined	/logout
20221207	16:13:42	232c4883-0702-4b08-a25e-f13bca6fa234	POST	undefined	/auth
20221207	16:14:14	05349fd2-8ca2-4fdc-9772-c2c717eee4d3	GET	undefined	/employees
20221207	16:14:26	4b416d33-5051-40eb-9411-c49087262238	POST	undefined	/auth
20221207	16:14:46	640e7fda-9881-4863-b827-061639881027	GET	undefined	/employees
20221207	16:14:58	a54ac949-63c3-4b84-abc7-d29f9b361cb9	GET	undefined	/employees/639062253bdb7918468c140d
20221207	16:15:15	080fd388-2ba7-4943-8556-dccd0891a99c	POST	undefined	/auth
20221207	16:16:01	86a814c8-b73f-492c-a004-13c725638f0c	POST	undefined	/employees
20221207	16:16:23	1698b148-1fa3-4124-a748-8424e8193077	POST	undefined	/auth
20221207	16:17:25	40028f09-c026-4115-8255-9b70c81c6dec	PUT	undefined	/employees/639062253bdb7918468c140d
20221207	16:39:30	3b4d7b2d-932e-463b-9ab2-c99c3c46e92a	POST	undefined	/auth
20221207	16:40:00	dd6ecf3d-341a-4bed-9d8f-b2d625969382	DELETE	undefined	/employees
20221207	16:41:08	d042009e-86b8-48ba-97ec-c9d6c6f4f986	GET	undefined	/
20221207	16:41:08	669afae0-50f6-485a-87c9-516fe004fe3d	GET	undefined	/css/style.css
20221207	16:41:09	610b8e7d-9362-47c6-ae83-ce086ae6bbf7	GET	undefined	/favicon.ico
